DATE,EVENT DAY,DAY PARTS,NETWORKS,KEY SPORTS,ATHLETES TO WATCH,TONNAGE,
7/23/24,First Day of Competition,[TBD],"CNBC, Golf, NBC, USA, Telemundo ",Soccer ,,16:00,
7/24/24,,[TBD],"CNBC, Golf, NBC, USA, Telemundo ",Soccer ,TBD,12:00,
7/25/24,Opening Ceremony,[TBD],"CNBC, Golf, NBC, USA, Telemundo ",,TBD,,
7/26/24,,[TBD],"CNBC, Golf, NBC, USA, Telemundo ","Basketball, Cycling, Diving, Soccer , Tennis, Volleyball",TBD,85.03,
7/27/24,,[TBD],"CNBC, Golf, NBC, USA, Telemundo ","Basketball, Cycling, Gymnastics, Soccer , Swimming, Tennis, Volleyball",TBD,78.08,
7/28/24,,[TBD],"CNBC, Golf, NBC, USA, Telemundo ","Basketball, Cycling, Diving, Gymnastics, Swimming, Tennis, Volleyball",TBD,5.63,
7/29/24,,[TBD],"CNBC, Golf, NBC, USA, Telemundo ","Basketball, Cycling, Gymnastics, Soccer, Swimming, Tennis, Volleyball",TBD,7.24,
7/30/24,,[TBD],"CNBC, Golf, NBC, USA, Telemundo ","Basketball, Cycling, Diving, Gymnastics, Soccer, Swimming, Tennis, Volleyball",TBD,78.32,
7/31/24,,[TBD],"CNBC, Golf, NBC, USA, Telemundo ","Basketball, Cycling, Gynastics, Swimming, Track & Field, Tennis, Volleyball",TBD,57.22,
8/1/24,,[TBD],"CNBC, Golf, NBC, USA, Telemundo ","Basketball, Cycling, Diving, Gynastics, Soccer, Swimming, Track & Field, Tennis, Volleyball",TBD,67.48,
8/2/24,,[TBD],"CNBC, Golf, NBC, USA, Telemundo ","Basketball, Cycling, Gynastics, Soccer, Swimming, Track & Field, Tennis, Volleyball",TBD,67.33,
8/3/24,,[TBD],"CNBC, Golf, NBC, USA, Telemundo ","Cycling, Gynastics, Swimming, Track & Field, Tennis, Volleyball",TBD,44.37,
8/4/24,,[TBD],"CNBC, Golf, NBC, USA, Telemundo ","Basketball, Cycling, Diving, Gynastics, Soccer, Track & Field, Volleyball",TBD,41.48,
8/5/24,,[TBD],"CNBC, Golf, NBC, USA, Telemundo ","Basketball, Cycling, Diving, Soccer, Track & Field, Volleyball",TBD,43.04,
8/6/24,,[TBD],"CNBC, Golf, NBC, USA, Telemundo ","Basketball, Cycling, Diving, Track & Field, Volleyball, Weightlifting",TBD,46.41,
8/7/24,,[TBD],"CNBC, Golf, NBC, USA, Telemundo ","Basketball, Cycling, Diving, Soccer, Swimming, Track & Field, Volleyball, Weightlifting",TBD,39.17,
8/8/24,,[TBD],"CNBC, Golf, NBC, USA, Telemundo ","Basketball, Cycling, Diving, Soccer, Swimming, Track & Field, Volleyball, Weightlifting",TBD,41.09,
8/9/24,,[TBD],"CNBC, Golf, NBC, USA, Telemundo ","Basketball, Cycling, Diving, Soccer, Track & Field, Volleyball, Weightlifting",TBD,38.16,
8/10/24,,[TBD],"CNBC, Golf, NBC, USA, Telemundo ","Basketball, Cycling, Track & Field, Volleyball, Weightlifting",TBD,16.40,
8/11/24,Closing Ceremony,[TBD],"CNBC, Golf, NBC, USA, Telemundo ",,TBD,,
,,,,,,,
